Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,200.600006,203.320007,197.820007,200.720001,163.977493,6494900
2007-01-04,200.220001,200.669998,198.070007,198.850006,162.449783,6460200
2007-01-05,198.429993,200.000000,197.899994,199.050003,162.613205,5892900
2007-01-08,199.050003,203.949997,198.100006,203.729996,166.436493,7851000
2007-01-09,203.539993,204.899994,202.000000,204.080002,166.722427,7147100
2007-01-10,203.399994,208.440002,201.500000,208.110001,170.014709,8025700
2007-01-11,208.339996,213.169998,207.600006,211.880005,173.094650,9039400
2007-01-12,210.899994,214.220001,210.399994,213.990005,174.818436,6618900
2007-01-16,210.850006,215.130005,210.850006,213.589996,174.491608,5846600
2007-01-17,212.199997,214.089996,210.850006,213.229996,174.197495,5306300
2007-01-18,213.750000,214.809998,209.100006,209.679993,171.297348,6423200
2007-01-19,209.080002,211.440002,208.839996,210.289993,172.082932,5333700
2007-01-22,211.089996,213.250000,209.600006,212.970001,174.275940,4980700
2007-01-23,212.820007,213.419998,210.649994,212.639999,174.005997,6293400
2007-01-24,213.509995,220.169998,213.029999,220.100006,180.110596,6386800
2007-01-25,219.830002,220.509995,212.509995,213.070007,174.357864,7853800
2007-01-26,214.559998,214.899994,210.600006,213.500000,174.709732,7458200
2007-01-29,213.899994,215.080002,210.130005,211.039993,172.696655,5890700
2007-01-30,211.080002,212.309998,208.369995,208.779999,170.847244,6001000
2007-01-31,208.300003,212.750000,207.289993,212.160004,173.613190,7235100
2007-02-01,213.440002,213.899994,209.729996,212.000000,173.482208,5734500
2007-02-02,211.000000,213.899994,211.000000,213.429993,174.652390,3527000
2007-02-05,213.300003,213.720001,211.500000,212.550003,173.932297,2995700
2007-02-06,213.289993,215.860001,212.699997,214.649994,175.650772,3803100
2007-02-07,215.029999,215.850006,213.100006,213.550003,174.750641,3621700
2007-02-08,212.089996,215.210007,209.809998,213.899994,175.037003,5410500
2007-02-09,215.770004,219.259995,210.580002,213.279999,174.529678,9109300
2007-02-12,213.750000,214.000000,209.869995,211.130005,172.770294,5384400
2007-02-13,211.979996,213.300003,210.470001,212.529999,173.915909,4022000
2007-02-14,213.699997,219.100006,212.789993,217.399994,177.901093,7696400
2007-02-15,217.940002,218.839996,216.410004,216.820007,177.426498,3627200
2007-02-16,215.960007,217.500000,215.020004,216.919998,177.508331,3118500
2007-02-20,218.330002,221.899994,215.970001,220.940002,180.797943,6225500
2007-02-21,219.250000,221.500000,218.160004,220.149994,180.151520,5225500
2007-02-22,221.000000,222.750000,218.000000,218.970001,179.185928,4273400
2007-02-23,219.160004,219.800003,215.550003,216.500000,177.164658,5507400
2007-02-26,217.990005,218.369995,212.660004,214.000000,175.118866,5552700
2007-02-27,209.750000,210.399994,194.649994,196.000000,160.389252,18817600
2007-02-28,200.399994,203.850006,197.789993,201.750000,165.094574,15940000
2007-03-01,197.119995,202.699997,194.080002,199.660004,163.384293,14141300
2007-03-02,198.199997,200.919998,195.589996,195.669998,160.119202,9842200
2007-03-05,193.550003,197.490005,189.850006,190.000000,155.479385,13391800
